"","event_id","year","start_date","end_date","event"
"44","1048",2018,2018-04-21,2018-04-22,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018"
"45","1049",2018,2018-05-05,2018-05-06,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018"
"46","1050",2018,2018-05-12,2018-05-13,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018"
"47",NA,2018,2018-06-02,2018-06-03,"IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018"
"48",NA,2018,2018-06-08,2018-06-09,"IFSC Climbing Worldcup (B) - Vail (USA) 2018"
"49","1053",2018,2018-07-06,2018-07-07,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018"
"50","1054",2018,2018-07-11,2018-07-13,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018"
"51",NA,2018,2018-07-20,2018-07-21,"IFSC Climbing Worldcup (L) - Briançon (FRA) 2018"
"52","1056",2018,2018-07-27,2018-07-28,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018"
"53",NA,2018,2018-08-17,2018-08-18,"IFSC Climbing Worldcup (B) - Munich (GER) 2018"
"54","1061",2018,2018-09-06,2018-09-16,"IFSC Climbing World Championships - Innsbruck (AUT) 2018"
"55",NA,2018,2018-09-15,2018-09-16,"IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018"
"56",NA,2018,2018-09-29,2018-09-30,"IFSC Climbing Worldcup (L) - Kranj (SLO) 2018"
"57","1059",2018,2018-10-20,2018-10-21,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2018"
"58","1060",2018,2018-10-27,2018-10-28,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2018"
"59",NA,2017,2017-04-07,2017-04-08,"IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017"
"60","986",2017,2017-04-22,2017-04-23,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017"
"61","987",2017,2017-04-29,2017-04-30,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017"
"62",NA,2017,2017-05-06,2017-05-07,"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017"
"63",NA,2017,2017-06-09,2017-06-10,"IFSC Climbing Worldcup (B) - Vail (USA) 2017"
"64",NA,2017,2017-06-24,2017-06-25,"IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2017"
