"","rank","fname","lname","country","best_qual","final","fall_qual","false_start_qual","fall_final","false_start_final","sex","event_id","lane_a","lane_b","fall_lane_a","false_start_lane_a","fall_lane_b","false_start_lane_b","first_round","quarter","semi","small_final","big_final","fall_first_round","fall_quarter","fall_semi","fall_small_final","fall_big_final","false_start_first_round","false_start_quarter","false_start_semi","false_start_small_final","false_start_big_final","tomoa_skip","year","start_date","end_date","event"
"2635",26,"sebastian","lucke","GER",6.29,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,6.311,6.294,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2636",27,"jan","kriz","CZE",6.37,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,6.374,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2637",28,"mehdi","alipour shenazandifard","IRI",6.52,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,6.759,6.521,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2638",29,"phanuphong","bunprakop","THA",6.65,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,NA,6.652,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2639",30,"yaroslav","tkach","UKR",6.67,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,NA,6.678,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2640",31,"alex","vivas","ECU",6.73,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,6.734,7.082,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2641",32,"jan","hojer","GER",6.91,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,6.913,6.927,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2642",33,"matvey","yessipov","KAZ",6.99,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,6.991,8.672,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2643",34,"nickolaie","rivadeneira","ECU",7.03,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,10.261,7.035,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
"2644",35,"juan martin","peña","ECU",7.1,NA,FALSE,FALSE,FALSE,FALSE,"M",1185,7.105,8.863,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2021-09-16,2021-09-21,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
